Standing,Name,Born,Nation,Category,CategoryRecord,AthleteTotal,Points
1,NASAR Karlos May,12.06.2004,BUL,96 kg,416,417,1008.0077
2,TSIKHANTSOU Yauheni,04.11.1998,AIN,102 kg,413,399,891.7579
3,RUIZ I VELASCO Marcos,13.10.1996,ESP,102 kg,413,397,876.9952
4,GENC Yusuf Fehmi,23.05.2002,TUR,73 kg,365,348,853.4751
5,KARAPETYAN Garik,11.06.2003,ARM,109 kg,435,411,828.1767
6,BRATU Tudor,27.09.2002,MDA,102 kg,413,386,798.8386
7,MARTIROSYAN Simon,17.02.1997,ARM,109 kg,435,406,795.1779
8,KAHRIMAN Kaan,12.09.2004,TUR,67 kg,339,316,791.8434
9,FRIEDRICH Raphael,25.01.2001,GER,89 kg,405,376,781.2873
10,SAHAKYAN Gor,01.09.2003,ARM,73 kg,365,338,774.6879
11,ROBU Marin,19.03.2000,MDA,89 kg,405,375,774.4060
12,REYES MARTINEZ Oscar,06.10.1996,ITA,81 kg,378,349,767.0803
13,AGHANYAN Ara,25.05.2000,ARM,102 kg,413,380,758.3290
14,GUTU Roberto,27.07.2000,GER,73 kg,365,335,752.0810
15,LALAYAN Varazdat,01.05.1999,ARM,+109 kg,492,450,743.4755
16,DAVITADZE Revaz,16.10.1998,GEO,96 kg,416,379,733.8619
17,DIMOV Ivan,04.12.2002,BUL,61 kg,318,289,727.8514
18,RUSTAMOV Isa,06.11.1999,AZE,67 kg,339,308,727.1853
19,HARUTYUNYAN Rafik,17.05.2000,ARM,81 kg,378,343,724.1397
20,HOVHANNISYAN Davit,14.01.1997,ARM,96 kg,416,376,714.7417
21,HARDAL Ferdi,31.12.1996,TUR,67 kg,339,305,703.9211
22,LAURET RODRIGUEZ Luis Manuel,20.01.1997,ROU,109 kg,435,390,695.7588
23,PETROSYAN Petros,28.11.2002,ARM,102 kg,413,370,694.0384
24,RAMADANI Kristi,29.10.2000,ALB,81 kg,378,337,682.9082
25,BALAEV Khas Magomed,21.05.2000,AIN,109 kg,435,387,678.1381
26,LOMTADZE Zaza,12.06.2001,GEO,109 kg,435,386,672.3346
27,SHARANKOU Siarhei,15.06.2002,AIN,109 kg,435,386,672.3346
28,BURIACHEK Bohdan,11.06.1996,UKR,102 kg,413,365,663.3683
29,KLIMONOV Egor,24.08.1992,AIN,96 kg,416,367,659.4723
30,FRALOU Andrei,10.06.2003,AIN,81 kg,378,333,656.3507
31,QERIMAJ Erkand,10.08.1988,ALB,81 kg,378,333,656.3507
32,LIKHARAD Vadzim,06.09.1993,AIN,81 kg,378,332,649.8259
33,YANTSEVYCH Yevhenii,26.09.2000,UKR,102 kg,413,361,639.5243
34,KONDRATIUK Dmytro,19.06.2001,UKR,81 kg,378,330,636.9125
35,TARQUINI Lorenzo,29.08.2002,ITA,89 kg,405,353,633.4995
36,DONOSE Tiberiu Ionut,12.05.2005,ROU,73 kg,365,318,632.6016
37,ASANIDZE Saba,07.04.2003,GEO,89 kg,405,352,627.5575
38,BERDELIDZE Goderdzi,14.07.1996,GEO,61 kg,318,276,624.6568
39,MUELLER Lucas,31.07.2003,GER,89 kg,405,351,621.6546
40,BREGVADZE Longinoz,09.03.1995,GEO,109 kg,435,377,621.6546
41,BURUN Muhammed Emin,02.10.2004,TUR,109 kg,435,377,621.6546
42,CERCIZ Arberi,28.04.1997,ALB,73 kg,365,316,619.4811
43,GOBEJISHVILI Irakli,10.10.2000,GEO,96 kg,416,360,618.6049
44,BADANEV Ion,16.01.2006,MDA,61 kg,318,275,617.1701
45,CHOLAKYAN Garnik,21.12.2002,ARM,61 kg,318,275,617.1701
46,ADAMUS Bartlomiej,12.05.2000,POL,96 kg,416,359,612.9151
47,SERDIUKOV Anton,28.03.1998,UKR,96 kg,416,358,607.2619
48,MALAKMADZE Archil,30.04.2001,GEO,81 kg,378,325,605.4154
49,MARINOV Vasil,28.01.2001,BUL,109 kg,435,373,600.0124
50,MOROSANU Victor,29.12.2001,MDA,81 kg,378,323,593.1273
51,CIOBANU Tudor,27.02.1999,MDA,102 kg,413,352,588.0763
52,CABALA Sebastian,07.10.2002,SVK,81 kg,378,322,587.0491
53,MURRAY Christopher,05.02.1999,GBR,81 kg,378,322,587.0491
54,MUGURDUMOV Artur,06.06.1988,ISR,109 kg,435,367,568.5448
55,SEIM Mart,24.10.1990,EST,+109 kg,492,415,568.1369
56,AYKUN Burak,22.09.2006,TUR,61 kg,318,268,566.5082
57,GIORBELIDZE Gurami,17.03.2002,GEO,67 kg,339,285,561.9228
58,MARECEK Petr,12.07.1998,CZE,81 kg,378,317,557.3097
59,KUDLASZYK Piotr,29.05.1999,POL,73 kg,365,306,556.7179
60,RUSEV Angel,13.07.2001,BUL,55 kg,294,246,553.1490
61,ZALIPSKYI Pavlo,13.07.1998,UKR,61 kg,318,266,552.5855
62,LAZUGA Konrad,03.02.2003,POL,81 kg,378,316,551.4909
63,TANASOIU Mihaita Constantin,22.06.2005,ROU,81 kg,378,315,545.7146
64,SECRIERU Danu,24.02.2008,MDA,55 kg,294,245,545.7146
65,URBAN Kacper,08.11.2001,POL,73 kg,365,304,544.7219
66,PELOVSKI Zdravko,15.02.2000,BUL,67 kg,339,282,542.5127
67,LUNGU Daniel,16.10.1998,MDA,61 kg,318,264,538.9037
68,REVKO Andrii,25.06.2003,UKR,61 kg,318,264,538.9037
69,VASILONOKS Arturs,16.04.1998,LAT,89 kg,405,336,537.6991
70,MINASIDIS Dimitris,29.04.1989,CYP,67 kg,339,281,536.1482
71,SAKOVICH Uladzislau,13.12.2004,AIN,109 kg,435,360,533.3122
72,FERRE Benjamin,22.07.2000,FRA,109 kg,435,360,533.3122
73,SANCHEZ LOPEZ David,20.07.1994,ESP,73 kg,365,302,532.9078
74,SHAMILISHVILI Ramini,11.05.1994,GEO,55 kg,294,243,531.0558
75,DIAKOVASILIS Jacob Alexander P.,30.10.1996,DEN,102 kg,413,341,529.2123
76,HOZA Bohdan,12.01.2002,UKR,+109 kg,492,406,528.2280
77,SIDISKIS Arnas,05.07.1990,LTU,102 kg,413,340,524.0744
78,LUCA Marian Cristian,16.02.1999,ROU,55 kg,294,242,523.8306
79,PAMPORDZHIEV Dian,14.12.1999,BUL,67 kg,339,278,517.3681
80,ALGUL Harun,03.11.2003,TUR,55 kg,294,241,516.6745
81,KOLAR Josef,01.10.1997,CZE,109 kg,435,356,513.8801
82,CASTRO MARINO Victor,18.12.1992,ESP,67 kg,339,277,511.2116
83,TURMANIDZE Bakari,29.03.1995,GEO,+109 kg,492,402,511.1368
84,MEZINSKIS Armands,08.09.2000,LAT,89 kg,405,330,506.4588
85,SIMBUERGER Elias,28.03.2004,AUT,96 kg,416,336,491.9010
86,DANEV Deniz,26.06.2003,BUL,55 kg,294,237,488.7321
87,TSCHAN Yannick,30.08.1996,SUI,96 kg,416,333,477.4618
88,PENT Leho,02.04.1990,EST,89 kg,405,324,476.5099
89,PAPOLTI Narcis,09.02.2007,ROU,55 kg,294,235,475.1652
90,OTTOSON Hugo,03.10.2001,SWE,109 kg,435,347,471.9764
91,BARANSKI Patryk,12.04.2004,POL,89 kg,405,323,471.6418
92,KOMOROWSKI Marek,23.03.1999,POL,67 kg,339,269,463.7895
93,PRYLYPKO Vladyslav,16.11.2000,UKR,+109 kg,492,390,462.1850
94,VLADISAVLJEV Stevan,04.07.1999,SRB,61 kg,318,252,461.7394
95,DOROBETE Ion Daniel,18.11.2007,ROU,61 kg,318,250,449.6777
96,GADZHIBEKOV Ismail,29.07.1995,AIN,55 kg,294,231,448.8246
97,SAMKO Karol,09.03.1990,SVK,96 kg,416,325,440.4090
98,TATARU Darius Stefan,19.12.2004,ROU,96 kg,416,325,440.4090
99,SAHIN Muammer,05.02.1994,TUR,55 kg,294,229,436.0451
100,MARGULIS Yanush,04.02.2006,ISR,96 kg,416,324,435.9235
101,HRISTOV Hristo,27.04.2001,BUL,+109 kg,492,383,435.1972
102,HOUSEN Seppe,18.03.1997,BEL,102 kg,413,321,432.9438
103,HOLME Ragnar Gamlestoel,19.06.2001,NOR,+109 kg,492,382,431.4340
104,SMAJIC Dino,05.07.1997,BIH,102 kg,413,320,428.4796
105,VORONOVSKYI Dmytro,03.01.1997,UKR,55 kg,294,227,423.5222
106,BETCA Iulian,17.08.2003,MDA,55 kg,294,227,423.5222
107,POZIDIS Spyridon,21.02.1998,GRE,96 kg,416,320,418.3005
108,KUCERA Kamil,19.03.1985,CZE,+109 kg,492,377,412.9583
109,EL AMRANI Youssef,25.08.1996,BEL,89 kg,405,310,411.4777
110,OFLAZ Ali,01.10.2003,TUR,+109 kg,492,376,409.3307
111,BROWN Sean,03.06.1991,IRL,89 kg,405,309,407.0848
112,DANILOV Gabriel,22.01.2007,MDA,67 kg,339,258,403.7251
113,BARTECEK Jakub,04.12.2000,CZE,96 kg,416,316,401.1816
114,HAUTANIEMI Eetu,11.06.2005,FIN,89 kg,405,306,394.1030
115,ZIOLKOWSKI Szymon,09.11.2004,POL,+109 kg,492,370,388.0315
116,OTERO MARTINEZ Michael Steven,29.07.1990,ESP,55 kg,294,221,387.4630
117,OSTROVSKY Viktor,27.01.1995,SVK,102 kg,413,310,385.5906
118,BIRK David,06.12.2000,SLO,81 kg,378,282,377.8409
119,SVERRISSON Bergur,16.12.1994,ISL,89 kg,405,302,377.2477
120,PELTOKANGAS Antti,20.05.1995,FIN,96 kg,416,310,376.4304
121,STONKUS Karolis,12.04.2001,LTU,+109 kg,492,365,370.8840
122,REZAZADEH Rebin Kardo,25.04.1995,FIN,109 kg,435,321,364.3828
123,ROCHE Shane,10.06.2002,IRL,96 kg,416,303,348.9268
124,NOVKO Ivan,08.03.1999,CRO,73 kg,365,262,332.4071
125,BARNES Ciaran,08.08.1998,IRL,96 kg,416,296,322.8596
126,ATHANASIOU Ioannis,18.06.1994,GRE,+109 kg,492,350,322.6240
127,EINARSSON Kari Steinn,23.12.2000,ISL,81 kg,378,264,303.4951
128,DOBNIK Peter,08.07.1991,SLO,96 kg,416,290,301.6264
129,JIGAU Daniel Nicolae,16.06.2005,ROU,61 kg,318,220,294.0876
130,KESKITALO Hanno,01.07.2003,FIN,+109 kg,492,340,293.0059
131,VOGEL Arnost,17.02.2000,CZE,+109 kg,492,332,270.7229
132,TATARCIK Radoslav,08.03.1992,SVK,+109 kg,492,331,268.0235
133,RAJIC Krizan,20.12.1996,CRO,+109 kg,492,310,215.5807
134,KURNAZ Hakan Sukru,31.05.2004,TUR,96 kg,416,191,75.3337
